# Optical constants for Co created by PTB
# Reconstructed from reflection measurements in the wavelength range 8 - 25 nm
# 40 nm Co thin film in a multilayer on Si (C/ Co/ Ru/ Si) (measured 4/2022)
# n = (1-delta) - (i*beta)
# The values are provided with their 3-sigma uncertainty bounds. HB: Higher Bound. LB: Lower Bound.
#lambda/nm	1-delta	beta	1-delta_LB	1-delta_HB	beta_LB	beta_HB
# ------------------------
8.0	0.96788	0.02267	0.96772	0.96804	0.02253	0.0228
8.1	0.96713	0.02328	0.96697	0.96729	0.02315	0.02341
8.2	0.96639	0.02393	0.96623	0.96656	0.0238	0.02407
8.3	0.96564	0.02463	0.96546	0.96581	0.0245	0.02477
8.4	0.96491	0.02536	0.96474	0.96508	0.02523	0.0255
8.5	0.96417	0.0261	0.964	0.96434	0.02597	0.02624
8.6	0.96343	0.02684	0.96326	0.9636	0.0267	0.02698
8.7	0.96269	0.02762	0.96249	0.9629	0.02748	0.02776
8.8	0.96193	0.0284	0.96174	0.96211	0.02825	0.02855
8.9	0.96116	0.02924	0.96097	0.96134	0.0291	0.02939
9.0	0.96036	0.03012	0.96017	0.96055	0.02996	0.03027
9.1	0.95955	0.03107	0.95936	0.95974	0.03092	0.03122
9.2	0.95876	0.03208	0.95855	0.95897	0.03192	0.03224
9.3	0.95798	0.03316	0.95778	0.95818	0.033	0.03331
9.4	0.95722	0.03428	0.95688	0.95756	0.03411	0.03445
9.5	0.95646	0.03549	0.95625	0.95668	0.03532	0.03566
9.6	0.95573	0.03676	0.9555	0.95597	0.03659	0.03693
9.7	0.95508	0.0381	0.95483	0.95533	0.03792	0.03827
9.8	0.95451	0.03952	0.95427	0.95476	0.03931	0.03973
9.9	0.95405	0.04095	0.9538	0.9543	0.04077	0.04114
10.0	0.95371	0.04236	0.95345	0.95397	0.04217	0.04256
10.1	0.95346	0.04371	0.95318	0.95375	0.04351	0.0439
10.2	0.95329	0.04498	0.95301	0.95357	0.04466	0.04529
10.3	0.95321	0.04613	0.95293	0.95349	0.04593	0.04634
10.4	0.95315	0.0472	0.95286	0.95343	0.047	0.04741
10.5	0.95315	0.04818	0.95286	0.95344	0.04797	0.04838
10.6	0.95316	0.04903	0.95287	0.95345	0.04882	0.04924
10.7	0.95311	0.04981	0.95282	0.9534	0.0496	0.05002
10.8	0.95309	0.05049	0.95279	0.95338	0.05028	0.05071
10.9	0.95287	0.05121	0.95255	0.9532	0.05099	0.05142
11.0	0.95272	0.0519	0.95238	0.95305	0.05168	0.05213
