# Optical constants for SiN created by PTB
# Reconstructed from reflection measurements in the wavelength range 5.0 - 33.0 nm
# 40 nm SiN thin film on Si  (measured 2024)
# n = (1-delta) - (i*beta)
# Citation: Q. Saadeh, V. Philipsen, J. Meersschaut, V. S. K. Channam, K.-A. Kantre, A. Sokolov, B. Kupper, T. Wiesner, D. O. García, Z. Salami, C. Buchholz, F. Scholze, and V. Soltwisch, "Optical constants of TiN, amorphous SiO2, and SiN in the extreme ultraviolet range," Appl. Opt. 63(36), 9210-9222 (2024).
# The values are provided with their 3-sigma uncertainty bounds. HB: Higher Bound. LB: Lower Bound.
#lambda/nm	1-delta	beta	1-delta_LB	1-delta_HB	beta_LB	beta_HB
# ------------------------
5.0	0.99378	0.00331	0.99389	0.99367	0.00312	0.00351
5.2	0.99337	0.00359	0.99349	0.99324	0.0034	0.00379
5.4	0.99296	0.00393	0.99309	0.99282	0.00374	0.00415
5.6	0.99256	0.00434	0.9927	0.99241	0.00413	0.00456
5.8	0.99222	0.00478	0.99238	0.99207	0.00456	0.00502
6.0	0.99195	0.00521	0.99213	0.99178	0.00497	0.00543
6.2	0.99168	0.00556	0.99186	0.99149	0.00533	0.00581
6.4	0.99138	0.00591	0.99157	0.99118	0.00566	0.00617
6.6	0.99103	0.00635	0.99123	0.99083	0.00608	0.00661
6.8	0.99073	0.00696	0.99094	0.99051	0.00669	0.00723
7.0	0.99048	0.0076	0.99073	0.99024	0.00734	0.00788
7.1	0.99061	0.0077	0.99087	0.99036	0.00751	0.00792
7.11	0.9906	0.00772	0.99085	0.99035	0.00752	0.00793
7.12	0.99061	0.00775	0.99086	0.99034	0.00756	0.00796
7.13	0.9906	0.00778	0.99084	0.99034	0.00757	0.00798
7.14	0.99063	0.00783	0.99088	0.99038	0.00763	0.00803
7.15	0.99064	0.00786	0.99088	0.99038	0.00765	0.00807
7.16	0.99065	0.0079	0.99092	0.9904	0.0077	0.00811
7.17	0.99067	0.00793	0.99092	0.99041	0.00774	0.00814
7.18	0.99066	0.00795	0.99091	0.99042	0.00775	0.00816
7.19	0.99067	0.00797	0.99091	0.9904	0.00777	0.00817
7.2	0.99066	0.00798	0.99092	0.99041	0.00778	0.00819
7.21	0.99068	0.00804	0.99094	0.99043	0.00784	0.00825
7.22	0.99066	0.00806	0.9909	0.9904	0.00785	0.00828
7.23	0.99068	0.00808	0.99094	0.99043	0.00788	0.00829
7.24	0.99069	0.00812	0.99093	0.99042	0.00792	0.00833
7.25	0.99069	0.00812	0.99093	0.99043	0.00792	0.00832
7.26	0.9907	0.00817	0.99096	0.99046	0.00797	0.00839
7.27	0.99071	0.0082	0.99097	0.99046	0.008	0.00841
7.28	0.99075	0.00822	0.99099	0.9905	0.00803	0.00843
7.29	0.99078	0.00833	0.99104	0.99053	0.00812	0.00854
7.3	0.99072	0.00826	0.99098	0.99047	0.00805	0.00846
7.31	0.99071	0.00827	0.99097	0.99046	0.00807	0.00848
7.32	0.99072	0.00829	0.99096	0.99047	0.00809	0.0085
7.33	0.99071	0.00831	0.99098	0.99045	0.0081	0.00852
7.34	0.99071	0.00833	0.99096	0.99047	0.00812	0.00854
7.35	0.99073	0.00836	0.99098	0.99049	0.00816	0.00858
7.36	0.99073	0.00837	0.99099	0.9905	0.00817	0.00858
7.37	0.9907	0.00838	0.99095	0.99046	0.00819	0.00858
7.38	0.99071	0.0084	0.99095	0.99046	0.0082	0.00861
7.39	0.99071	0.00842	0.99096	0.99047	0.00822	0.00864
7.4	0.99072	0.00843	0.99096	0.99047	0.00823	0.00864
7.41	0.99072	0.00847	0.99095	0.99047	0.00827	0.00868
7.42	0.9907	0.00846	0.99094	0.99046	0.00825	0.00866
7.43	0.99068	0.00847	0.99092	0.99043	0.00827	0.00868
7.44	0.99066	0.0085	0.99091	0.99041	0.0083	0.00871
7.45	0.99066	0.00851	0.99092	0.99042	0.00831	0.00872
7.46	0.99064	0.00852	0.99089	0.99039	0.00832	0.00873
7.47	0.99064	0.00857	0.99088	0.9904	0.00837	0.00877
7.48	0.99062	0.00856	0.99086	0.99038	0.00835	0.00878
7.49	0.99063	0.00859	0.99088	0.99038	0.00838	0.00879
7.5	0.99062	0.00862	0.99087	0.99037	0.00841	0.00883
7.51	0.99058	0.0086	0.99083	0.99034	0.00839	0.00881
7.52	0.99059	0.00863	0.99084	0.99035	0.00842	0.00884
7.53	0.99057	0.00865	0.99082	0.99032	0.00844	0.00886
7.54	0.99058	0.0087	0.99082	0.99034	0.00849	0.00892
7.55	0.99055	0.00867	0.99079	0.99031	0.00846	0.00888
7.56	0.99053	0.0087	0.99078	0.9903	0.00849	0.00891
7.57	0.99054	0.00873	0.99079	0.99029	0.00853	0.00895
7.58	0.99052	0.00874	0.99077	0.99027	0.00853	0.00895
7.59	0.99049	0.00876	0.99073	0.99023	0.00855	0.00899
7.6	0.99047	0.00878	0.99072	0.99022	0.00857	0.009
7.61	0.99043	0.00879	0.99067	0.99018	0.00858	0.00901
7.62	0.99043	0.00882	0.99069	0.99018	0.00861	0.00904
7.63	0.9904	0.00885	0.99064	0.99014	0.00864	0.00907
7.64	0.99039	0.00889	0.99064	0.99014	0.00869	0.00911
7.65	0.99035	0.00891	0.99059	0.99009	0.00869	0.00912
7.66	0.99032	0.00895	0.99059	0.99007	0.00873	0.00918
7.67	0.99029	0.009	0.99055	0.99004	0.00878	0.00921
7.68	0.99028	0.00904	0.99053	0.99003	0.00882	0.00926
7.69	0.99027	0.00909	0.99053	0.99003	0.00889	0.00931
7.7	0.99025	0.00914	0.99051	0.98998	0.00892	0.00938
7.71	0.99024	0.00923	0.99051	0.98998	0.00902	0.00945
7.72	0.99025	0.00931	0.99052	0.98998	0.0091	0.00953
7.73	0.99027	0.00938	0.99053	0.99001	0.00916	0.00962
7.74	0.99031	0.00946	0.99059	0.99005	0.00924	0.00969
7.75	0.99036	0.00953	0.99064	0.9901	0.0093	0.00976
7.76	0.99042	0.00957	0.9907	0.99015	0.00934	0.00982
7.77	0.9905	0.0096	0.99077	0.99022	0.00938	0.00982
7.78	0.99056	0.00958	0.99083	0.9903	0.00935	0.00981
7.79	0.99061	0.00949	0.99088	0.99035	0.00927	0.00972
7.8	0.99063	0.00935	0.99091	0.99036	0.00913	0.00958
7.81	0.9906	0.0092	0.99087	0.99034	0.00898	0.00943
7.82	0.99056	0.00902	0.99082	0.99031	0.00879	0.00924
7.83	0.99049	0.00887	0.99075	0.99024	0.00866	0.0091
7.84	0.99038	0.0087	0.99064	0.99012	0.00849	0.00892
7.85	0.99024	0.00861	0.99051	0.98998	0.00841	0.00882
7.86	0.99012	0.00856	0.99038	0.98986	0.00835	0.00877
7.87	0.98999	0.00854	0.99025	0.98972	0.00834	0.00875
7.88	0.98995	0.0086	0.9902	0.98969	0.00839	0.00882
7.89	0.98985	0.00863	0.99013	0.98958	0.00843	0.00885
7.9	0.98978	0.00867	0.99006	0.98951	0.00846	0.00889
7.91	0.98974	0.00872	0.99001	0.98946	0.00851	0.00893
7.92	0.98973	0.00879	0.99001	0.98946	0.00857	0.00901
7.93	0.98974	0.00888	0.99002	0.98946	0.00867	0.00911
7.94	0.98974	0.00894	0.99002	0.98945	0.00873	0.00916
7.95	0.98977	0.00898	0.99006	0.98949	0.00877	0.0092
7.96	0.9898	0.00904	0.99009	0.98951	0.00883	0.00927
7.97	0.98986	0.0091	0.99016	0.98958	0.00889	0.00931
7.98	0.98995	0.00916	0.99023	0.98967	0.00895	0.00938
7.99	0.98997	0.00915	0.99027	0.98967	0.00893	0.00937
8.0	0.99002	0.00918	0.99032	0.98971	0.00897	0.00941
8.01	0.99007	0.00922	0.99037	0.98978	0.00901	0.00944
8.02	0.99013	0.0092	0.99043	0.98984	0.00899	0.00943
8.03	0.99013	0.00919	0.99043	0.98983	0.00899	0.0094
8.04	0.99014	0.00921	0.99042	0.98986	0.00899	0.00943
8.05	0.99016	0.00922	0.99044	0.98987	0.00901	0.00945
8.06	0.99013	0.0092	0.99042	0.98985	0.00899	0.00942
8.07	0.99013	0.0092	0.99041	0.98984	0.00899	0.00942
8.08	0.99009	0.00919	0.99038	0.98981	0.00898	0.00942
8.09	0.99006	0.00924	0.99033	0.98978	0.00903	0.00946
8.1	0.99006	0.00921	0.99034	0.9898	0.00899	0.00942
8.11	0.99003	0.00922	0.99031	0.98976	0.009	0.00944
8.12	0.99003	0.00924	0.9903	0.98976	0.00902	0.00946
8.13	0.98999	0.00925	0.99026	0.98973	0.00903	0.00947
8.14	0.98997	0.00928	0.99023	0.9897	0.00907	0.0095
8.15	0.98996	0.00932	0.99023	0.98969	0.00911	0.00955
8.2	0.9897	0.01003	0.98999	0.98941	0.00975	0.01031
8.3	0.98946	0.01031	0.98977	0.98916	0.01003	0.01063
8.4	0.98925	0.01064	0.98956	0.98896	0.01035	0.01095
8.5	0.98908	0.01099	0.98939	0.98876	0.01069	0.01131
8.6	0.98894	0.01138	0.98927	0.98862	0.01106	0.01171
8.7	0.98885	0.01178	0.98919	0.98852	0.01147	0.01211
8.8	0.98885	0.01221	0.9892	0.98851	0.01188	0.01256
8.9	0.98888	0.01258	0.98925	0.98855	0.01225	0.01292
9.0	0.98898	0.01289	0.98934	0.9886	0.01255	0.01322
9.1	0.98914	0.01314	0.98954	0.98875	0.0128	0.01349
9.2	0.98938	0.01335	0.98977	0.989	0.013	0.01368
9.3	0.98964	0.01346	0.99004	0.98924	0.01313	0.01381
9.4	0.98991	0.01348	0.99028	0.98951	0.01314	0.01382
9.5	0.99018	0.01344	0.99058	0.98979	0.01313	0.01376
9.6	0.99051	0.01341	0.9909	0.99011	0.0131	0.01374
9.7	0.99084	0.01336	0.99124	0.99045	0.01305	0.01369
9.8	0.99126	0.0133	0.99169	0.99084	0.01298	0.01361
9.9	0.99173	0.01315	0.99215	0.99133	0.01284	0.01346
10.0	0.99196	0.01273	0.99249	0.99141	0.01236	0.01314
10.1	0.99231	0.01251	0.99282	0.9918	0.01215	0.01288
10.2	0.99247	0.01237	0.99296	0.99199	0.01202	0.01274
10.3	0.99241	0.01231	0.99287	0.99194	0.01197	0.01267
10.4	0.99229	0.01233	0.99273	0.99187	0.01199	0.01271
10.5	0.99208	0.01235	0.99249	0.9917	0.01201	0.01273
