# Optical constants for amorphous SiO2 created by PTB
# Reconstructed from reflection measurements in the wavelength range 5.0 - 24.5 nm
# 50 nm amorphous SiO2 thin film on Si  (measured 2024)
# n = (1-delta) - (i*beta)
# Citation: Q. Saadeh, V. Philipsen, J. Meersschaut, V. S. K. Channam, K.-A. Kantre, A. Sokolov, B. Kupper, T. Wiesner, D. O. García, Z. Salami, C. Buchholz, F. Scholze, and V. Soltwisch, "Optical constants of TiN, amorphous SiO2, and SiN in the extreme ultraviolet range," Appl. Opt. 63(36), 9210-9222 (2024).
# The values are provided with their 3-sigma uncertainty bounds. HB: Higher Bound. LB: Lower Bound.
#lambda/nm	1-delta	beta	1-delta_LB	1-delta_HB	beta_LB	beta_HB
# ------------------------
5.0	0.99426	0.00246	0.99431	0.99421	0.00236	0.00256
5.25	0.99373	0.00279	0.99378	0.99367	0.00269	0.0029
5.5	0.99312	0.00322	0.99317	0.99306	0.00311	0.00333
5.75	0.99267	0.00376	0.99273	0.9926	0.00363	0.00389
6.0	0.99227	0.00433	0.99235	0.9922	0.0042	0.00448
6.1	0.99212	0.00453	0.9922	0.99205	0.00439	0.00467
6.2	0.99198	0.00471	0.99206	0.9919	0.00457	0.00486
6.3	0.99185	0.00489	0.99193	0.99177	0.00474	0.00505
6.4	0.99171	0.00506	0.99179	0.99163	0.00491	0.00521
6.5	0.99157	0.00521	0.99165	0.99148	0.00506	0.00536
6.6	0.99141	0.00538	0.9915	0.99133	0.00524	0.00554
6.7	0.99123	0.00557	0.99132	0.99115	0.00543	0.00573
6.8	0.99101	0.00574	0.9911	0.99092	0.00559	0.0059
6.9	0.99076	0.00593	0.99085	0.99067	0.00577	0.0061
7.0	0.99054	0.00617	0.99064	0.99045	0.00601	0.00633
7.1	0.99038	0.00641	0.99048	0.99029	0.00625	0.00658
7.2	0.9902	0.00658	0.99029	0.9901	0.00642	0.00674
7.3	0.98993	0.00673	0.99002	0.98984	0.00657	0.0069
7.4	0.98969	0.00692	0.98979	0.9896	0.00675	0.00709
7.5	0.98946	0.00708	0.98956	0.98936	0.00692	0.00725
7.6	0.98919	0.00726	0.98929	0.98909	0.00709	0.00743
7.7	0.98875	0.00734	0.98886	0.98864	0.00712	0.00755
7.71	0.98868	0.00739	0.9888	0.98857	0.00718	0.00761
7.72	0.9886	0.00745	0.98872	0.98849	0.00725	0.00768
7.73	0.98852	0.00754	0.98865	0.9884	0.00732	0.00776
7.74	0.98845	0.00766	0.98858	0.98833	0.00743	0.0079
