# Optical constants for Ta2Co created by PTB
# Reconstructed from reflection measurements in the wavelength range 8 - 22 nm
# 30 nm Ta2Co thin film on Si (measured 07/2020)
# n = (1-delta) - (i*beta)
# The values are provided with their 3-sigma uncertainty bounds. HB: Higher Bound. LB: Lower Bound.
#lambda/nm	1-delta	beta	1-delta_LB	1-delta_HB	beta_LB	beta_HB
# ------------------------
8.0	0.98028	0.0222	0.97989	0.98065	0.02196	0.02245
8.25	0.97955	0.02311	0.97916	0.97995	0.02287	0.02338
8.5	0.97853	0.02393	0.97813	0.97894	0.02369	0.02418
8.75	0.97777	0.02478	0.97736	0.97819	0.02453	0.02505
9.0	0.97687	0.02565	0.97642	0.97733	0.02538	0.02593
9.25	0.97595	0.02644	0.97545	0.97646	0.02617	0.02674
9.5	0.97486	0.02723	0.9743	0.97545	0.02695	0.02754
9.75	0.97396	0.02809	0.97344	0.97448	0.0278	0.02838
10.0	0.97286	0.02879	0.97241	0.97331	0.02853	0.02905
10.25	0.97207	0.0295	0.97151	0.97264	0.02917	0.02984
10.5	0.9706	0.03023	0.97008	0.97112	0.02993	0.03053
10.75	0.96932	0.03098	0.96885	0.96979	0.03072	0.03125
11.0	0.96813	0.03186	0.96769	0.96858	0.03158	0.03212
11.25	0.96645	0.03277	0.96603	0.96689	0.03252	0.03303
11.5	0.96487	0.03371	0.96444	0.96529	0.03345	0.03395
11.75	0.96318	0.03446	0.96276	0.96361	0.03421	0.03471
12.0	0.96158	0.03543	0.96115	0.96201	0.03517	0.03568
12.05	0.9615	0.03565	0.96106	0.96198	0.03539	0.03593
12.1	0.96106	0.03588	0.96062	0.9615	0.03562	0.03614
12.15	0.9607	0.03617	0.96027	0.96114	0.0359	0.03642
12.2	0.96039	0.03634	0.95992	0.96083	0.03609	0.03659
12.25	0.96014	0.03666	0.95969	0.9606	0.0364	0.0369
12.3	0.95985	0.03695	0.95939	0.9603	0.0367	0.0372
12.35	0.9596	0.03699	0.95917	0.96003	0.03674	0.03724
12.4	0.95918	0.03719	0.95873	0.95961	0.03694	0.03744
12.45	0.95894	0.03717	0.95852	0.95939	0.03692	0.03742
12.5	0.95858	0.0375	0.95815	0.95903	0.03724	0.03775
12.75	0.95704	0.03848	0.95658	0.9575	0.03821	0.03873
13.0	0.95512	0.03937	0.95466	0.95558	0.0391	0.03963
13.25	0.95345	0.04046	0.95295	0.95393	0.0402	0.04071
13.5	0.95164	0.04147	0.95116	0.95213	0.0412	0.04173
13.75	0.94979	0.04257	0.94929	0.95026	0.04229	0.04284
14.0	0.94778	0.04368	0.94729	0.94827	0.04341	0.04394
14.25	0.94553	0.04499	0.945	0.94605	0.04472	0.04526
14.5	0.94351	0.04617	0.94301	0.94404	0.04589	0.04646
14.75	0.94117	0.04761	0.94058	0.94177	0.04729	0.04793
15.0	0.93865	0.04904	0.93807	0.9392	0.04873	0.04934
15.25	0.9362	0.05065	0.93559	0.93681	0.05032	0.05096
15.5	0.93381	0.05225	0.93315	0.93443	0.05193	0.05258
15.75	0.93105	0.05419	0.93036	0.93172	0.05382	0.05453
16.0	0.92845	0.05632	0.92772	0.92916	0.05596	0.05668
16.25	0.9252	0.05809	0.92427	0.92618	0.05763	0.05857
16.5	0.9229	0.06065	0.9221	0.92369	0.06024	0.06106
16.75	0.92063	0.06275	0.91971	0.92153	0.06231	0.06318
17.0	0.91856	0.0655	0.91769	0.91944	0.06505	0.06594
17.25	0.91529	0.06762	0.91445	0.91612	0.06721	0.06802
17.5	0.91298	0.07018	0.91207	0.91381	0.06977	0.07059
17.75	0.9105	0.07283	0.9096	0.91141	0.07237	0.07326
18.0	0.90753	0.07531	0.9066	0.90845	0.07485	0.07575
18.25	0.90533	0.07883	0.90426	0.90634	0.07834	0.07932
18.5	0.90162	0.0829	0.90051	0.90273	0.08236	0.08344
18.75	0.8988	0.08762	0.89749	0.90013	0.08703	0.08825
19.0	0.89765	0.09253	0.89604	0.89936	0.09178	0.0933
19.25	0.8976	0.0966	0.89604	0.89912	0.0959	0.09734
19.5	0.89778	0.0995	0.89585	0.89965	0.09866	0.10036
19.75	0.89585	0.10216	0.89372	0.89822	0.10122	0.10314
20.0	0.89595	0.10497	0.89367	0.89829	0.10402	0.10594
20.25	0.8954	0.10772	0.89339	0.89741	0.10684	0.10858
20.5	0.89632	0.10924	0.89433	0.89843	0.10831	0.11016
20.75	0.89231	0.10996	0.88932	0.89548	0.10874	0.11117
21.0	0.88762	0.11156	0.88481	0.89052	0.11043	0.11271
21.25	0.88127	0.11555	0.87913	0.88329	0.11457	0.11651
21.5	0.87689	0.12218	0.87456	0.87914	0.12115	0.12326
21.75	0.87502	0.12869	0.87251	0.87757	0.12755	0.12994
22.0	0.86959	0.13519	0.86699	0.87232	0.134	0.13641
