# Optical constants for TaCo created by PTB
# Reconstructed from reflection measurements in the wavelength range 8 - 22 nm
# 30 nm TaCo thin film on Si (measured 07/2020)
# n = (1-delta) - (i*beta)
# The values are provided with their 3-sigma uncertainty bounds. HB: Higher Bound. LB: Lower Bound.
#lambda/nm	1-delta	beta	1-delta_LB	1-delta_HB	beta_LB	beta_HB
# ------------------------
8.0	0.97819	0.02301	0.97791	0.97847	0.02277	0.02326
8.25	0.97734	0.02411	0.97709	0.97759	0.02389	0.02437
8.5	0.97644	0.02512	0.97616	0.97672	0.0249	0.02536
8.75	0.9755	0.0261	0.97523	0.97578	0.02589	0.02635
9.0	0.97459	0.02709	0.97433	0.97487	0.02687	0.02733
9.25	0.97361	0.0281	0.97332	0.9739	0.0279	0.02836
9.5	0.97262	0.02907	0.9723	0.97294	0.02887	0.02929
9.75	0.97151	0.03004	0.9712	0.97184	0.02983	0.03027
10.0	0.97041	0.03096	0.97009	0.97072	0.03075	0.03117
10.25	0.96916	0.03198	0.96883	0.96953	0.03178	0.03219
10.5	0.96806	0.03297	0.96772	0.96843	0.03277	0.03319
10.75	0.96673	0.03394	0.96629	0.96717	0.0337	0.03417
11.0	0.96569	0.03498	0.96523	0.96615	0.03473	0.03523
11.25	0.96425	0.03617	0.96391	0.96459	0.03595	0.03637
11.5	0.96288	0.0372	0.96254	0.96322	0.037	0.03741
11.75	0.96129	0.03826	0.96092	0.96167	0.03806	0.03847
12.0	0.95986	0.03941	0.95946	0.96029	0.03918	0.03963
12.05	0.95945	0.03962	0.95909	0.95982	0.0394	0.03983
12.1	0.95912	0.03992	0.95873	0.95949	0.03968	0.04013
12.15	0.95876	0.04014	0.95838	0.95914	0.03993	0.04035
12.2	0.95853	0.04043	0.95809	0.95897	0.0402	0.04065
12.25	0.95831	0.0408	0.9579	0.95869	0.04058	0.04101
12.3	0.9581	0.04108	0.95768	0.95849	0.04086	0.04129
12.35	0.95755	0.04127	0.95717	0.95794	0.04105	0.04148
12.4	0.95733	0.04145	0.95695	0.95772	0.04122	0.04165
12.45	0.95699	0.04158	0.95647	0.95753	0.04129	0.04188
12.5	0.95661	0.0418	0.95621	0.95698	0.04159	0.04201
12.75	0.95505	0.04301	0.95467	0.95546	0.04278	0.04323
13.0	0.95325	0.04422	0.95283	0.95365	0.04399	0.04444
13.25	0.95156	0.04552	0.95114	0.95199	0.04527	0.04574
13.5	0.94974	0.04681	0.94933	0.95014	0.04658	0.04704
13.75	0.94793	0.04812	0.94751	0.94835	0.04789	0.04835
14.0	0.9459	0.04953	0.94546	0.94631	0.04928	0.04975
14.25	0.94411	0.05111	0.94367	0.94456	0.05087	0.05137
14.5	0.94207	0.05255	0.94161	0.94252	0.05231	0.05279
14.75	0.93986	0.05411	0.93934	0.94036	0.05385	0.05437
15.0	0.93759	0.05586	0.93705	0.93812	0.05559	0.05612
15.25	0.93533	0.05766	0.93483	0.93588	0.05739	0.05793
15.5	0.93351	0.05953	0.93292	0.93408	0.05924	0.05981
15.75	0.93086	0.06148	0.93028	0.93144	0.06119	0.06177
16.0	0.92867	0.06378	0.92806	0.92929	0.06348	0.06408
16.25	0.92626	0.06626	0.92564	0.92687	0.06594	0.06658
16.5	0.92401	0.06884	0.92337	0.92463	0.06851	0.06914
16.75	0.92215	0.07184	0.9214	0.92285	0.07148	0.07218
17.0	0.92055	0.07454	0.91983	0.92127	0.07417	0.07488
17.25	0.91836	0.07722	0.91766	0.91908	0.07689	0.07756
17.5	0.91693	0.07968	0.91615	0.91765	0.07933	0.08004
17.75	0.91499	0.08218	0.91418	0.91578	0.08182	0.08254
18.0	0.91285	0.08461	0.91201	0.91372	0.08422	0.08499
18.25	0.9099	0.08766	0.90904	0.91078	0.08727	0.08805
18.5	0.90713	0.09189	0.9062	0.90809	0.09145	0.09234
18.75	0.90482	0.0971	0.90375	0.90591	0.09661	0.09761
19.0	0.90447	0.10305	0.90322	0.90567	0.10251	0.10359
19.25	0.90524	0.10756	0.90384	0.90663	0.10701	0.1081
19.5	0.90723	0.11001	0.90574	0.9087	0.10941	0.11055
19.75	0.90744	0.11103	0.90579	0.90908	0.11042	0.11166
20.0	0.90821	0.11231	0.90671	0.90973	0.11172	0.11289
20.25	0.90933	0.11275	0.90767	0.91096	0.11214	0.11338
20.5	0.90909	0.11177	0.9075	0.91078	0.11121	0.11236
20.75	0.90846	0.1102	0.90684	0.91	0.10961	0.11079
21.0	0.90294	0.10703	0.90153	0.90441	0.10651	0.10758
21.25	0.89415	0.11056	0.89255	0.8957	0.10996	0.11115
21.5	0.88934	0.1173	0.88789	0.89073	0.11672	0.11787
21.75	0.88405	0.12327	0.88195	0.88614	0.12246	0.12403
22.0	0.88116	0.12961	0.87954	0.88276	0.12897	0.13027
